1/12/2017 10:45,model=SM-G950F,,,,4,HOTBOX-2017,c0:ac:54:f5:7d:bd,11,-78,HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,6,-81,TP-LINK_76C08E,14:cc:20:76:c0:8e,1,-86,sirocco_2.4o,c4:e9:84:83:1a:0a,11,-91,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,4,Oded,14:cc:20:76:b8:2a,11,-65,Oded 2.4Ghz,00:12:2a:e1:6c:48,11,-82,HOTBOX-2017,c0:ac:54:f5:7d:bd,11,-87,TP-LINK_76C08E,14:cc:20:76:c0:8e,1,-93,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,3,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,6,-63,hot,00:1c:10:09:4f:bc,3,-77,Oded,14:cc:20:76:b8:2a,11,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,3,hot,00:1c:10:09:4f:bc,3,-84,HOTBOX-62EF,d8:fb:5e:17:62:f5,1,-85,geller,00:78:9e:fa:3b:62,11,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,5,ter123,70:4d:7b:0c:89:50,6,-82,arama,80:1f:02:36:04:d0,11,-84,HP-Print-8A-Deskjet 4640 series,8c:dc:d4:6a:a9:8a,11,-89,HOTBOX-62EF,d8:fb:5e:17:62:f5,1,-93,Florida_Israel1,48:ee:0c:3b:fa:1e,1,-94,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,11,TUCHLER,00:26:5a:69:94:e3,6,-81,landau,74:da:38:14:4b:88,11,-81,  InnovationEndeavors,74:da:38:a9:1c:df,2,-83,klaiman,a0:ab:1b:62:0d:fc,2,-86,Astra,00:21:63:4d:73:31,6,-86,Mehta_Up,f8:d1:11:b8:3b:7e,6,-87,BezeqFree,5a:ab:1b:62:0d:fd,2,-87,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,6,-89,HOTBOX-8156,b4:ee:b4:a7:81:5c,1,-92,Candan,c0:ff:d4:7b:82:30,1,-93
1/12/2017 10:45,model=SM-G950F,,,,2,mazia,14:ae:db:b2:5f:05,1,-87,arama,80:1f:02:36:04:d0,11,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,2,nina,20:0c:c8:2b:2a:14,11,-73,Nehalem_ISR,08:ea:44:74:4b:d5,1,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,3,Einav_1,00:26:5a:10:b7:0a,6,-82,RS_GUEST,e4:6f:13:71:f5:ce,9,-92,nina,20:0c:c8:2b:2a:14,11,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,1,SE-WiFi-Employees,70:4c:a5:20:be:18,1,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,5,LRWN,ec:8c:a2:08:a4:5c,52,-69,Candan,c0:ff:d4:7b:82:30,1,-88,simon,e4:6f:13:73:0a:c2,8,-90,INGENEO,cc:b2:55:e8:4c:e6,6,-91,Oberyn Martell,18:d6:c7:fb:1c:0e,8,-95,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,1,A-Home,00:25:86:b1:6f:f8,6,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,7,kaymeraQA,00:f6:63:15:58:80,1,-82,simon,e4:6f:13:73:0a:c2,8,-84,Candan,c0:ff:d4:7b:82:30,1,-87,Vision Public,c0:4a:00:f7:00:c1,10,-89,BARON WIFI 2.4,60:e3:27:bf:a1:a5,11,-91,cactus,a0:4f:d4:42:ba:71,1,-95,KaymeraGuest,cc:16:7e:97:1d:92,1,-95,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,4,Oberyn Martell,18:d6:c7:fb:1c:0e,8,-79,INGENEO,cc:b2:55:e8:4c:e6,6,-87,simon,e4:6f:13:73:0a:c2,8,-89,HTC,06:c2:3e:e4:21:85,4,-92,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,5,forestisthebest,c8:d7:19:da:03:16,6,-78,spielman,f4:f2:6d:34:56:54,1,-79,KaymeraDev,00:f6:63:15:58:81,1,-86,KaymeraGuest,00:f6:63:15:58:82,1,-86,HP-Print-C1-Deskjet 4640 series,28:80:23:f6:e0:c1,11,-87,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,2,BezeqNGN_001489_2.4GHz_1,c0:a0:bb:cb:59:5b,1,-73,netbox,d0:d4:12:65:19:a2,1,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,3,Bezeq Free T00C36,5a:0c:c8:0f:21:90,1,-92,BezeqFree,62:ee:0c:39:f9:16,5,-94,ELCHARAR_2.4,20:0c:c8:0f:21:93,1,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,1,Alpha125,30:b5:c2:e0:55:9c,6,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,6,Neeman2.4,20:0c:c8:1d:c8:2b,1,-81,Bezeq Free F026CC,6a:0c:c8:1d:c8:28,1,-81,HP-Print-20-Deskjet 4640 series,fc:15:b4:65:09:20,1,-83,HOTBOX12,d8:fb:5e:17:62:4d,1,-87,oved-main,74:da:3a:97:66:9e,6,-87,HOTBOX-2E6E,c0:ac:54:f7:27:42,11,-93,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,3,devolo-0f4,30:d3:2d:37:20:f4,6,-80,Neeman2.4,20:0c:c8:1d:c8:2b,1,-87,Bezeq Free F026CC,6a:0c:c8:1d:c8:28,1,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,1,devolo-0f4,30:d3:2d:37:20:f4,6,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,3,HOTFiber-A53E,7c:b7:33:a1:7e:98,6,-79,Guymic,14:ae:db:b7:99:2d,6,-81,RDK,58:b6:33:34:81:a8,1,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,2,Guymic,14:ae:db:b7:99:2d,6,-88,HOTFiber-A53E,7c:b7:33:a1:7e:98,6,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,2,home,00:13:d4:0f:f3:ba,1,-88,Guymic,14:ae:db:b7:99:2d,6,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,1,home,00:13:d4:0f:f3:ba,1,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:44,model=SM-G950F,,,,1,DAVID,d8:fb:5e:17:1b:d6,11,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
